,Região,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
44, Cascavel,2015,0.03732351489023494,0.7764723522115582,0.18564835442733107,0.9459535050016531,0.039683273487778434
45, Cascavel,2016,0.04089707694738505,0.7792483876336441,0.1793284268183494,0.986895506787197,0.0005285096391689425
46, Cascavel,2017,0.06697750461715463,0.73064009420293,0.20183938789721587,0.9628255930292704,0.028573082318958287
47, Cascavel,2018,0.08023531180693906,0.7176948456545265,0.20207015235717382,0.8893529604304093,0.11063213894927779
48, Cascavel,2019,0.06381506696859715,0.7250705691364996,0.21111505059665606,0.9872741479802846,0.01247875882638209
49, Caucaia,2013,0.2844257408243941,0.4407802652220182,0.27382722384401076,0.9158660782598572,0.08286966946963208
50, Caucaia,2014,0.352817524360715,0.39170375469470486,0.2546538769607202,0.9109987182071555,0.0842478888560307
51, Caucaia,2015,0.36446432267509093,0.37299143430548587,0.2616907088127594,0.8925482870424652,0.08915654522086312
52, Caucaia,2016,0.30422116482576617,0.4042275874695205,0.29068460832984505,0.9034995598657193,0.08298303182027063
53, Caucaia,2017,0.29425957003097714,0.37070021633492567,0.33415264910435655,0.9274572747931431,0.0654580973229267
54, Caucaia,2018,0.270564381206788,0.3788783050211926,0.35055722139231943,0.8040267762925362,0.003812236440371496
55, Caucaia,2019,0.2705200773153683,0.3660841915868378,0.3633956105483265,0.9632577241280178,0.028020032447960086
56, Crateús,2013,0.06397145706432474,0.7297576313926203,0.20554225568925855,0.9892540027998679,0.003577296147922499
57, Crateús,2014,0.06981237591565688,0.7324400374713324,0.19712338198295334,0.8605594498998552,0.12920117951717067
58, Crateús,2015,0.06604544534185246,0.7207291614609503,0.21252992368282253,0.8709079448829744,0.10807445223177202
59, Crateús,2016,0.18527195990466547,0.6281101403167124,0.1861374218764905,0.9712864911520993,0.01860611191148861
60, Crateús,2017,0.08001851381533079,0.706928167593244,0.21249260524441385,0.8908950810946324,0.1054693460659877
61, Crateús,2018,0.08221961590039592,0.6839348955901277,0.23384498880723584,0.9078517559408648,0.09039477067063309
62, Crateús,2019,0.08494327029863505,0.6951214177863143,0.219935430952171,0.9219536995041447,0.07037261044429532
63, Fortaleza,2013,0.4011826571020189,0.22894458524079672,0.36868680978155566,0.9632403985030116,0.027984138608687818
64, Fortaleza,2014,0.4254583882011507,0.2222601924904354,0.35125436348227884,0.9246655439334023,0.06873558111708636
65, Fortaleza,2015,0.44306551057401117,0.2177331337196953,0.3382554570462995,0.913901304661575,0.07778688745255419
66, Fortaleza,2016,0.4357040360511953,0.23643392216318046,0.32700319812322837,0.9022064100144818,0.0891915269434057
67, Fortaleza,2017,0.4517996548048419,0.21387179010950838,0.33352877176331924,0.9043559441893316,0.09025405085283154
68, Fortaleza,2018,0.4566970568413248,0.2120567375496515,0.33124601176904994,0.8828995245848847,0.11243883973650702
69, Fortaleza,2019,0.4580383550620278,0.21079619304404165,0.33116568335468616,0.920354402714684,0.07468139481325202
70, Itapipoca,2013,0.13803667535285852,0.668030901055329,0.19328628216560326,0.9584380687027314,0.011233780357196937
71, Itapipoca,2014,0.11547895804555039,0.6919366986780003,0.1919846225779751,0.8939325732428397,0.09677292970450248
72, Itapipoca,2015,0.10966233257612315,0.6790817661116971,0.2106271200772596,0.9775072614107884,0.003665283540802213
73, Itapipoca,2016,0.13111117534132394,0.6638866458780995,0.20441463171588814,0.9147916505497601,0.07103198453834898
74, Itapipoca,2017,0.11843658820997632,0.6253051678319228,0.2556131232702577,0.9062756643040262,0.08967827261857292
75, Itapipoca,2018,0.12781071164528507,0.6067164018665672,0.26547259656066013,0.9196635056862763,0.0747043858541501
76, Itapipoca,2019,0.14988908276544297,0.5932004669066461,0.2569105224591485,0.9159396234864703,0.08339461094018599
77, Maracanaú,2013,0.11534729361190525,0.425555314810785,0.45743031285147695,0.958845952826387,0.0371271784112929
78, Maracanaú,2014,0.130662595350426,0.4028301461134142,0.46495498940489205,0.9040845792247797,0.0840625539425389
79, Maracanaú,2015,0.1394586203952177,0.3906276553034107,0.46840556883497403,0.9180552269830222,0.061166125595335054
80, Maracanaú,2016,0.12591330412667925,0.4207942248491146,0.4519147214464778,0.9373197753583882,0.053133632598116036
81, Maracanaú,2017,0.13534581421153333,0.38921298488892747,0.4741070737610047,0.9275876800890882,0.0639889002691404
82, Maracanaú,2018,0.1461209865092075,0.38548728857652503,0.4683922385102741,0.9322755306556455,0.06485381855537205
83, Maracanaú,2019,0.15863469152747722,0.38450572200225397,0.4568603029740741,0.9446200293828165,0.040596769677842065
84, Quixadá,2013,0.09262320630265322,0.6745177002875458,0.2320898343792239,0.9021139290783695,0.09061301606853944
85, Quixadá,2014,0.07127908541917524,0.6939087200172148,0.23410705320556552,0.8495639966553168,0.1430391246836962
86, Quixadá,2015,0.09808664669053316,0.6815091212784725,0.21977101870669336,0.8655622500193786,0.13072540859157009
87, Quixadá,2016,0.11171096024468584,0.7109855861293558,0.17684341923618505,0.9950326744664142,0.0010731632446142868
88, Quixadá,2017,0.12088735547823634,0.6635681667335144,0.2149950704326801,0.8720419702516358,0.12795768843430913
89, Quixadá,2018,0.13524375697598104,0.6631251199415864,0.20163017441868566,0.8587687114278904,0.12535284019649848
90, Quixadá,2019,0.1273407645432609,0.663526681510443,0.20913220371485036,0.9008344792625803,0.0977063434139372
91, Sobral,2013,0.04873056809070304,0.6838835513103037,0.26640804642413557,0.908221773045114,0.07638946840918025
92, Sobral,2014,0.0731105358751848,0.7266753864116505,0.2841974122037738,0.9636490643131661,0.03398088921976595
